,Accuracy,F1 Score,ROC-AUC Score,PR-AUC Score
Balanced Bagging Classifier,0.7778333333333334,0.5189462287982678,0.7617891427586244,0.5141686465893252
Balanced Random Forest Classifier,0.7443333333333333,0.5170025188916877,0.7714385091657809,0.525055734654262
RUBoost Classifier,0.7523333333333333,0.5212628865979382,0.7660350589719161,0.5181164037053775
Easy Ensemble Classifier,0.7591666666666667,0.5291625936787228,0.7768365157731575,0.5327657543186086
Tomek Links,0.8185,0.48413074372335385,0.7691146664682059,0.527356668983976
Edited Nearest Neighbour,0.7893333333333333,0.5416968817984046,0.7691146664682059,0.527356668983976
Near Miss,0.49333333333333335,0.39345570630486826,0.7691146664682059,0.527356668983976
One Sided Selection,0.8191666666666667,0.48602558029369963,0.7691146664682059,0.527356668983976
SMOTE,0.7946666666666666,0.5202492211838006,0.7635300342165973,0.5236973491171678
SVMSMOTE,0.7941666666666667,0.5248172373989997,0.7635300342165973,0.5236973491171678
ADASYN,0.7865,0.5055962948668467,0.7635300342165973,0.5236973491171678
SMOTE-Tomek,0.7925,0.5191193511008112,0.7691146664682059,0.527356668983976
SMOTE-ENN,0.722,0.506508875739645,0.7691146664682059,0.527356668983976
